participant_ID,gender,age,weight,length,skill_performance,skill_effort,velocity,pull_ID,initial_search,pull_direction,outcome,pull_force,angular_momentum,reaction_time,phi_zero,phi_dot_zero,delta_zero,delta_dot_zero,psi_zero,Q_zero,comments,exclude
1,female,61,8.360000e+01,1.610000e+00,9.356484e+01,8.204226e+00,6,32,FALSE,CCW,0,40,8.154725e+00,2.200000e-02,-2.519809e+00,4.662248e-02,-4.868905e-02,-1.172595e-01,6.350218e-03,5.969251e+01,NA,NO
1,female,61,8.360000e+01,1.610000e+00,9.356484e+01,8.204226e+00,6,33,FALSE,CCW,1,60,1.248759e+01,1.500000e-03,-1.462629e+00,3.000295e-02,-4.876005e-02,-4.242835e-01,1.919078e-02,-5.985006e+01,NA,NO
1,female,61,8.360000e+01,1.610000e+00,9.356484e+01,8.204226e+00,6,34,FALSE,CW,1,70,1.353488e+01,5.800000e-02,-3.838753e-01,1.323426e-01,-3.486259e-02,1.382752e-01,3.240319e-02,-4.438727e+00,NA,NO
1,female,61,8.360000e+01,1.610000e+00,9.356484e+01,8.204226e+00,6,35,FALSE,CCW,0,50,1.057322e+01,5.550000e-02,-3.600602e-01,1.359639e-01,-9.274658e-02,5.681301e-01,-1.746900e-02,4.085861e+01,NA,NO
1,female,61,8.360000e+01,1.610000e+00,9.356484e+01,8.204226e+00,6,36,FALSE,CCW,0,50,9.903637e+00,2.032152e-12,-1.535421e+00,1.175111e-01,-2.380140e-03,6.474453e-01,-5.258584e-02,3.498917e+01,NA,NO
1,female,61,8.360000e+01,1.610000e+00,9.356484e+01,8.204226e+00,6,37,FALSE,CW,1,60,1.117098e+01,2.800000e-02,-1.169124e+00,5.558242e-03,7.016793e-03,3.745004e-02,3.028717e-02,-2.482412e+01,NA,NO
1,female,61,8.360000e+01,1.610000e+00,9.356484e+01,8.204226e+00,6,38,FALSE,CCW,1,80,1.662523e+01,1.550000e-02,-2.661596e+00,4.213566e-02,-8.854377e-02,-1.719221e-01,8.839159e-03,8.787496e+00,NA,NO
1,female,61,8.360000e+01,1.610000e+00,9.356484e+01,8.204226e+00,6,39,FALSE,CW,1,50,9.508745e+00,4.350000e-02,-1.458125e+00,6.562948e-03,-2.262461e-02,-3.561230e-01,1.162105e-02,8.582667e+01,NA,NO
1,female,61,8.360000e+01,1.610000e+00,9.356484e+01,8.204226e+00,6,40,FALSE,CW,0,40,7.704548e+00,2.150000e-02,8.537357e-01,6.624456e-02,7.521154e-02,7.443104e-01,4.161683e-02,5.972854e+00,NA,NO
2,male,30,89,1.870000e+00,7.711328e+01,2.361822e+00,12,NA,TRUE,CCW,0,20,3.715789e+00,4.550000e-02,-2.103328e+00,-4.884201e-02,-1.292453e-03,8.911431e-02,-8.333198e-03,1.064953e+01,NA,NO
2,male,30,89,1.870000e+00,7.711328e+01,2.361822e+00,12,NA,TRUE,CCW,0,50,1.139263e+01,3.600000e-02,-2.822805e+00,-1.436827e-01,-3.392302e-02,-2.956211e-01,2.183974e-02,8.083860e+01,NA,NO
2,male,30,89,1.870000e+00,7.711328e+01,2.361822e+00,12,NA,TRUE,CW,1,80,1.741876e+01,4.100000e-02,-1.625825e+00,-1.168692e-01,3.685652e-03,3.095365e-01,2.988644e-03,3.522072e+01,NA,NO
2,male,30,89,1.870000e+00,7.711328e+01,2.361822e+00,12,1,FALSE,CCW,1,60,1.346031e+01,5.400000e-02,-2.812078e+00,-7.913110e-02,-9.503144e-03,-4.316049e-02,1.256839e-02,6.763027e+01,NA,NO
2,male,30,89,1.870000e+00,7.711328e+01,2.361822e+00,12,2,FALSE,CCW,0,60,1.378956e+01,5.800000e-02,-2.552964e+00,-6.291826e-02,1.488113e-02,2.175521e-01,-2.860469e-02,5.336679e+01,NA,NO
2,male,30,89,1.870000e+00,7.711328e+01,2.361822e+00,12,3,FALSE,CW,0,60,1.330836e+01,2.700000e-02,-1.568926e+00,-9.052981e-04,-7.703752e-03,1.585157e-01,-1.479347e-03,-9.998843e+00,NA,NO
2,male,30,89,1.870000e+00,7.711328e+01,2.361822e+00,12,4,FALSE,CCW,0,60,1.359669e+01,9.000000e-03,-1.987945e+00,-1.315139e-01,2.019721e-03,-8.561593e-02,1.897816e-02,8.112761e+01,NA,NO
2,male,30,89,1.870000e+00,7.711328e+01,2.361822e+00,12,5,FALSE,CCW,1,110,2.239159e+01,3.600000e-02,-2.086964e+00,-1.325610e-01,2.136390e-02,-7.605077e-01,3.774409e-02,4.516737e+01,NA,NO
2,male,30,89,1.870000e+00,7.711328e+01,2.361822e+00,12,6,FALSE,CW,1,80,1.784979e+01,3.850000e-02,-1.142468e+00,-1.705454e-01,1.931010e-02,7.272846e-01,1.265049e-02,5.945689e+01,NA,NO
2,male,30,89,1.870000e+00,7.711328e+01,2.361822e+00,12,7,FALSE,CW,0,50,1.126837e+01,2.600000e-02,-1.477385e+00,-1.207123e-01,1.508610e-02,6.010417e-01,6.194167e-03,5.010949e+01,NA,NO
